h3,places
8b44d070ac65fff,1
8b44d070ad81fff,8
8b44d070ac36fff,1
8b44d070ad9cfff,2
8b44d071d324fff,2
8b44d070ad9efff,5
8b44d071d368fff,3
8b44d071d352fff,7
8b44d071d221fff,19
8b44d070ace5fff,5
8b44d070ac1bfff,6
8b44d070ac8bfff,17
8b44d071d25efff,6
8b44d070ac99fff,1
8b44d070a8b2fff,2
8b44d070ad86fff,2
8b44d070ad9dfff,1
8b44d071dad5fff,1
8b44d071daeefff,1
8b44d071d364fff,1
8b44d071d36afff,3
8b44d071d303fff,1
8b44d070aca5fff,3
8b44d070aca1fff,1
8b44d071d22bfff,2
8b44d071d20bfff,4
8b44d071d243fff,3
8b44d070a526fff,12
8b44d071d248fff,3
8b44d071d3adfff,1
8b44d070ad40fff,2
8b44d070ac32fff,4
8b44d071d346fff,3
8b44d071d341fff,2
8b44d071d34efff,1
8b44d071d22efff,4
8b44d070ac19fff,2
8b44d070ac0bfff,1
8b44d070ac1efff,9
8b44d070aca4fff,3
8b44d070ac85fff,1
8b44d070ac1afff,6
8b44d070ace1fff,27
8b44d070ace3fff,1
8b44d071d241fff,1
8b44d070a524fff,6
8b44d070ad36fff,1
8b44d071daedfff,1
8b44d071d36dfff,1
8b44d071d224fff,1
8b44d071d35dfff,3
8b44d070ac70fff,1
8b44d070ac46fff,2
8b44d070aca6fff,2
8b44d070ac8afff,6
8b44d070ac52fff,5
8b44d070acc6fff,3
8b44d070acd4fff,5
8b44d070acd5fff,4
8b44d070ac83fff,1
8b44d070ac9bfff,9
8b44d071d273fff,4
8b44d070ad5dfff,2
8b44d070ad58fff,1
8b44d070ad35fff,1
8b44d070ad03fff,1
8b44d070adabfff,2
8b44d070ad8dfff,6
8b44d071dae8fff,1
8b44d071d333fff,1
8b44d070ad9bfff,5
8b44d071d344fff,6
8b44d071d343fff,2
8b44d071d358fff,1
8b44d071d228fff,3
8b44d070ac81fff,1
8b44d071d34bfff,2
8b44d071d245fff,1
8b44d071d24cfff,6
8b44d070a530fff,5
8b44d071d24dfff,7
8b44d070a812fff,2
8b44d071da48fff,2
8b44d070ad8efff,1
8b44d071daddfff,2
8b44d070ad98fff,2
8b44d070ac56fff,2
8b44d070acadfff,1
8b44d070acf1fff,8
8b44d070acaafff,7
8b44d070acf3fff,2
8b44d070acb1fff,3
8b44d070acb3fff,2
8b44d071d272fff,4
8b44d071d25afff,3
8b44d070e6f6fff,1
8b44d070ad90fff,1
8b44d071d374fff,2
8b44d071d22afff,1
8b44d070ad5afff,2
8b44d070ac01fff,1
8b44d070ac84fff,5
8b44d071d26cfff,1
8b44d070a536fff,5
8b44d071d266fff,4
8b44d071d24efff,7
8b44d071da59fff,2
8b44d070ad85fff,2
8b44d071dae9fff,1
8b44d071d301fff,1
8b44d071d30dfff,2
8b44d071d350fff,22
8b44d070ac71fff,1
8b44d070ac11fff,10
8b44d070ac8dfff,1
8b44d070acc4fff,3
8b44d070a525fff,5
8b44d071d26dfff,3
8b44d070a534fff,12
8b44d071d274fff,6
8b44d071d276fff,6
8b44d071d270fff,3
8b44d071d259fff,2
8b44d070ad1cfff,1
8b44d071d340fff,19
8b44d071d353fff,2
8b44d070ace6fff,4
8b44d070ac89fff,9
8b44d070acd6fff,6
8b44d070ac80fff,1
8b44d071d264fff,2
8b44d070ac9dfff,2
8b44d071d275fff,1
8b44d071d255fff,8
8b44d071d251fff,7
8b44d071d25dfff,25
8b44d071d258fff,2
8b44d071d21dfff,1
8b44d070adadfff,2
8b44d071d363fff,5
8b44d071d229fff,6
8b44d070ace4fff,2
8b44d070ac33fff,1
8b44d070ac14fff,8
8b44d070acabfff,2
8b44d071d349fff,4
8b44d070ac92fff,1
8b44d071d269fff,4
8b44d071d253fff,2
8b44d070a535fff,11
8b44d071d24afff,10
8b44d070ad82fff,2
8b44d070ad91fff,7
8b44d071dae3fff,1
8b44d071d345fff,9
8b44d071d22cfff,2
8b44d070ac73fff,1
8b44d070ac0afff,2
8b44d070ac12fff,1
8b44d070ac8efff,33
8b44d070acb5fff,3
8b44d071d265fff,1
8b44d071d268fff,1
8b44d071d20cfff,3
8b44d070a520fff,7
8b44d070ad63fff,1
8b44d070a8a8fff,1
8b44d070ac63fff,2
8b44d071da68fff,1
8b44d070ad54fff,1
8b44d070ac30fff,2
8b44d070ad99fff,2
8b44d071d366fff,1
8b44d071d36efff,19
8b44d070ad52fff,1
8b44d070ac04fff,1
8b44d070ac88fff,8
8b44d071d254fff,1
8b44d071d2c5fff,1
8b44d070ad49fff,1
8b44d070a894fff,1
8b44d071d362fff,2
8b44d071d30afff,3
8b44d070aca3fff,1
8b44d070ac9cfff,9
8b44d071d209fff,6
8b44d071d2e1fff,1
8b44d070a982fff,1
8b44d070a895fff,1
8b44d070ad1bfff,1
8b44d070adaefff,1
8b44d070ada8fff,1
8b44d070ad83fff,5
8b44d070ad94fff,1
8b44d070ad9afff,2
8b44d071d355fff,4
8b44d070ac16fff,5
8b44d070aca2fff,4
8b44d070ac18fff,2
8b44d070ace2fff,11
8b44d070acecfff,5
8b44d071d35afff,2
8b44d071d25cfff,5
8b44d070a884fff,3
8b44d070adaafff,10
8b44d070ad80fff,2
8b44d071dac2fff,2
8b44d071dad9fff,2
8b44d071d36cfff,7
8b44d071d34cfff,1
8b44d071d319fff,3
8b44d071d351fff,10
8b44d070ac05fff,3
8b44d070ac54fff,1
8b44d070ac10fff,6
8b44d070aca0fff,1
8b44d070ac51fff,1
8b44d070ac50fff,5
8b44d070ac9afff,16
8b44d071d26efff,2
8b44d071d26afff,3
8b44d071d246fff,1
8b44d070e6d8fff,1
8b44d070a880fff,1
8b44d070ad34fff,1
8b44d070adb6fff,2
8b44d070ad18fff,1
8b44d071dae5fff,1
8b44d071daccfff,1
8b44d071da89fff,1
8b44d071d342fff,10
8b44d070ace0fff,4
8b44d070acf4fff,3
8b44d070acf5fff,7
8b44d070ac8cfff,25
8b44d071d260fff,3
8b44d071d242fff,7
8b44d071d2e5fff,1
