h3,places
85f2a8c3fffffff,1
85e3a48ffffffff,1
85db1217fffffff,1
85d5188ffffffff,1
85d40377fffffff,1
85d5888bfffffff,1
85f2c473fffffff,1
85e28cd3fffffff,1
85c7b2abfffffff,1
85c79507fffffff,1
85d35e13fffffff,1
85d3990bfffffff,1
85cf498ffffffff,1
85d44db7fffffff,1
85d44da3fffffff,1
85bb9483fffffff,1
85b420cffffffff,1
85b4aa2ffffffff,2
85a14d07fffffff,1
858914cffffffff,5
85a01c03fffffff,1
8588a5d7fffffff,1
85a0cda3fffffff,1
85a0d997fffffff,2
85c78ab3fffffff,1
85c6a5d3fffffff,1
85c61acbfffffff,1
85c6e1d3fffffff,1
85c68a27fffffff,1
85d34a0ffffffff,1
85d2660bfffffff,1
85d24dcffffffff,1
85d25833fffffff,1
85a119cffffffff,1
85b1127bfffffff,1
85b0325bfffffff,1
85b72a33fffffff,1
85ce4d6ffffffff,1
85b6769bfffffff,1
85b676c3fffffff,1
85b64623fffffff,1
85a0107bfffffff,1
85a0ad93fffffff,1
85a0962bfffffff,1
85b06227fffffff,1
85b0c507fffffff,1
8590aad3fffffff,1
856f3367fffffff,1
8592801bfffffff,1
8592e0d3fffffff,1
85920823fffffff,1
856f1647fffffff,1
856fa68bfffffff,1
85930933fffffff,1
858eb203fffffff,1
8593288bfffffff,1
858fa22bfffffff,1
856c5b5bfffffff,1
856c5b03fffffff,1
858fa6c3fffffff,1
85ef6cdbfffffff,1
85ef4edbfffffff,1
85ee66c3fffffff,1
85ef5697fffffff,1
85cf40dbfffffff,1
85cf1573fffffff,1
85cf14a7fffffff,1
85cf157bfffffff,1
85cf13a3fffffff,2
85df6137fffffff,1
85df6e93fffffff,1
85df6c03fffffff,2
85df6c7bfffffff,2
85df6c23fffffff,1
85df6e5bfffffff,3
85df44b3fffffff,1
85df6e77fffffff,1
85df45a3fffffff,1
85cf128ffffffff,4
85cf167bfffffff,1
85cf123bfffffff,8
85cf1243fffffff,2
85cfa1c3fffffff,2
85cfa033fffffff,1
85cfadd3fffffff,1
85cfad4bfffffff,1
85cfa9bbfffffff,1
85cfa91bfffffff,1
85cf8d2bfffffff,1
85ce3277fffffff,1
85ce168ffffffff,2
85cf134bfffffff,3
85cfac8ffffffff,2
85cfacdbfffffff,1
85cfae33fffffff,1
85cfa877fffffff,2
85cfa863fffffff,1
85cfab53fffffff,1
85cfaa1bfffffff,1
85cfa02bfffffff,1
85cfb1a7fffffff,1
85cf842bfffffff,1
85cf8073fffffff,1
85cfab43fffffff,1
85cf8c33fffffff,1
85cf8e8bfffffff,1
85def51bfffffff,1
85de5377fffffff,1
85decd97fffffff,1
85ef1a93fffffff,1
85ef8b23fffffff,1
85eef26ffffffff,1
85ee825bfffffff,1
85dea62bfffffff,1
85de952bfffffff,2
85c4da83fffffff,1
85c4d41bfffffff,1
85c4f203fffffff,1
85de93cbfffffff,1
85dc601bfffffff,1
85dc4db7fffffff,1
85dd5223fffffff,1
85dc194bfffffff,1
85dca473fffffff,1
85ce54dbfffffff,1
85ce11b3fffffff,1
85ce1647fffffff,1
85ce1283fffffff,6
85ce1293fffffff,1
85cead83fffffff,1
85ceac73fffffff,145
85ceac43fffffff,48
85cf9907fffffff,1
85cea2dbfffffff,1
85ceae73fffffff,8
85ce8077fffffff,1
85ce83c3fffffff,1
85ce83bbfffffff,5
85ce8353fffffff,1
85ce8297fffffff,1
85ce82bbfffffff,2
85b2d92bfffffff,1
85ce9c0ffffffff,1
85ce9c73fffffff,2
85ce9127fffffff,1
85ce9c7bfffffff,1
85ce98d7fffffff,2
8528d847fffffff,3
85129467fffffff,1
8512b6d3fffffff,1
8512b6b3fffffff,1
8512b6a7fffffff,1
85129487fffffff,6
851295abfffffff,1
8512a2cbfffffff,3
8512a2c3fffffff,1
85129aaffffffff,1
85129bdbfffffff,4
85129bc3fffffff,1
85129b93fffffff,7
85129bbbfffffff,157
85129947fffffff,6
85129827fffffff,3
8512991bfffffff,2
851299dbfffffff,1
85129c33fffffff,1
851282c7fffffff,4
85129dbbfffffff,3
85129967fffffff,2
8512992ffffffff,1
8528db37fffffff,2
85129d23fffffff,1
85128a73fffffff,2
8528db43fffffff,5
85128b8bfffffff,1
85128e97fffffff,2
8512840ffffffff,1
85128437fffffff,1
851285c3fffffff,3
8512a37bfffffff,7
8512a377fffffff,1
8512aa6ffffffff,2
851285affffffff,1
8512aa47fffffff,8
8512aa1bfffffff,1
8512766ffffffff,1
85127697fffffff,1
85127323fffffff,11
851246a3fffffff,1
8512626bfffffff,1
85126663fffffff,1
8512299bfffffff,1
85122d03fffffff,1
85135e7bfffffff,1
85135e83fffffff,1
8513594bfffffff,1
851358cbfffffff,1
85126e73fffffff,3
8512616ffffffff,1
85126c13fffffff,2
851260a3fffffff,1
851260b7fffffff,1
850e9657fffffff,3
85135103fffffff,4
85135513fffffff,1
85137333fffffff,1
85134637fffffff,1
851346a7fffffff,1
85134447fffffff,1
85134413fffffff,1
85136267fffffff,1
85126c33fffffff,1
85126ddbfffffff,2
850e9313fffffff,2
850e93d7fffffff,1
850e9123fffffff,1
850e91c3fffffff,2
850e9567fffffff,1
850e91a3fffffff,3
850e952ffffffff,1
850e953bfffffff,2
850e96b3fffffff,2
850e969bfffffff,1
850e95cffffffff,1
850e94abfffffff,1
850e94b3fffffff,1
850e94b7fffffff,1
850e9593fffffff,1
850e865bfffffff,1
850e9c87fffffff,1
850e807bfffffff,1
850e863bfffffff,1
850f9ba7fffffff,1
850f9907fffffff,1
85133663fffffff,1
85029b57fffffff,1
8513244ffffffff,1
8502ca6bfffffff,1
8502e26bfffffff,1
85020a37fffffff,1
850fb2d7fffffff,1
85020aa7fffffff,1
85020b1bfffffff,2
850221bbfffffff,1
85022813fffffff,1
856c40abfffffff,1
856c46b7fffffff,1
856c4443fffffff,7
856c6ad3fffffff,1
856c44c7fffffff,2
856c68c7fffffff,1
856c6c2bfffffff,3
856c6c47fffffff,1
856c6d77fffffff,1
856c6d1bfffffff,3
856c6d83fffffff,1
856c6d87fffffff,4
856c6d93fffffff,1
856691c3fffffff,2
858f2ccbfffffff,11
8566d243fffffff,4
8566d0d3fffffff,140
85669807fffffff,1
85669e2ffffffff,4
85668e53fffffff,1
85668a8bfffffff,2
856688affffffff,8
85668e17fffffff,1
856d58dbfffffff,1
856d423bfffffff,2
856d4eb3fffffff,2
859cdd93fffffff,1
859cdd87fffffff,2
859cd80ffffffff,1
859cf537fffffff,40
859cf193fffffff,2
859cf103fffffff,4
859cf0affffffff,1
859cf383fffffff,1
859cf043fffffff,1
859cd19bfffffff,1
859cd2cffffffff,2
859c8c63fffffff,2
859c8c7bfffffff,1
857283abfffffff,1
85728ed7fffffff,1
859cda3bfffffff,1
8572d667fffffff,2
8572d283fffffff,9
857288cffffffff,1
8572881bfffffff,6
8572894bfffffff,6
857285bbfffffff,1
859ede3bfffffff,1
857e2a87fffffff,1
857541abfffffff,3
85754063fffffff,2
85756ecbfffffff,1
8582e8abfffffff,1
8582ce37fffffff,1
8575634bfffffff,1
85756063fffffff,1
857561cbfffffff,1
85756073fffffff,1
85589b73fffffff,1
85589877fffffff,1
8582c5b3fffffff,1
8582e30ffffffff,7
8582e377fffffff,4
8582f46bfffffff,2
8582f6cbfffffff,2
8582ab2ffffffff,1
8582ab77fffffff,1
8582d4d7fffffff,2
85828d17fffffff,3
8582d1d7fffffff,2
8582d873fffffff,5
8582d263fffffff,4
8582d26bfffffff,4
8558de0ffffffff,3
8558debbfffffff,5
8558965bfffffff,1
8575298ffffffff,4
8558961bfffffff,1
8558b21bfffffff,1
8558b2abfffffff,1
8558844ffffffff,1
859bacd3fffffff,1
859a1407fffffff,1
859b896bfffffff,3
859a1513fffffff,1
859a1527fffffff,3
85896b2ffffffff,1
859ae217fffffff,1
859af647fffffff,1
85895acbfffffff,1
85893407fffffff,41
8589343bfffffff,1459
85df6a8bfffffff,2
85df6d8ffffffff,1
85df6d77fffffff,1
85df6833fffffff,81
85df69b3fffffff,1
85cf105bfffffff,1
85cf162ffffffff,6
85cf8803fffffff,3
85cf8857fffffff,1
85cf8867fffffff,4
85cf8bbbfffffff,135
85cf8b8bfffffff,1
85cf8b5bfffffff,1
85cf802ffffffff,1
85cf8237fffffff,1
85cf9123fffffff,230
85cf98c3fffffff,1
85dfa84ffffffff,1
85df455bfffffff,1
85df400bfffffff,1
85de700ffffffff,3
85de702ffffffff,1
85ceac47fffffff,51
85ceaebbfffffff,2
85ceaeaffffffff,1
85cea8cbfffffff,19
85ceae27fffffff,3
85ceaa8ffffffff,6
85ceab53fffffff,39
85ce8c8ffffffff,1
85ce8c07fffffff,115
85cea597fffffff,1
85cea53bfffffff,1
85cea54ffffffff,1
85cea487fffffff,1
85cea467fffffff,4
85cea013fffffff,1
85ceae8ffffffff,1
85ceaed7fffffff,3
85cea3bbfffffff,2
85cea39bfffffff,13
85ceaadbfffffff,1
85ce85affffffff,11
85ce8507fffffff,6
85ce852ffffffff,1
85ce8197fffffff,10
85ce80a7fffffff,8
85ce80bbfffffff,80
85ce810ffffffff,10
85ce8eb7fffffff,11
85ce8e87fffffff,1
85ce8e83fffffff,6
85ce8ecbfffffff,1
85ce814ffffffff,6
