h3,_max,_min,_avg
87464e0acffffff,1151,1151,1151.0
87464e055ffffff,980,980,980.0
874648665ffffff,52,52,52.0
87464b923ffffff,320,320,320.0
8746494acffffff,366,366,366.0
8746482a3ffffff,263,263,263.0
875d1318cffffff,5,5,5.0
875d13c0dffffff,1696,1696,1696.0
875d131b1ffffff,415,415,415.0
875d13134ffffff,735,660,697.5
875d13c76ffffff,1988,1988,1988.0
875d1389bffffff,711,711,711.0
875d138d6ffffff,146,146,146.0
875d10603ffffff,1590,1590,1590.0
875d13910ffffff,3477,3368,3422.5
875d13902ffffff,3072,3026,3049.0
875d13b23ffffff,16,16,16.0
875d13872ffffff,984,984,984.0
875d16b51ffffff,854,854,854.0
875d16b5dffffff,1961,1961,1961.0
875d14694ffffff,1224,1224,1224.0
875d1449affffff,1140,766,905.0
875d1449dffffff,954,954,954.0
875d14481ffffff,776,776,776.0
875d16b6dffffff,1902,1902,1902.0
875d10634ffffff,1792,1792,1792.0
875d10700ffffff,833,833,833.0
875d10731ffffff,659,598,628.5
875d10019ffffff,751,751,751.0
875d10052ffffff,991,991,991.0
875d1011affffff,869,744,826.3333333333334
875d10c49ffffff,284,200,242.0
875d10076ffffff,1050,1050,1050.0
875d10202ffffff,2613,2613,2613.0
875d14604ffffff,503,503,503.0
874649625ffffff,162,162,162.0
874649293ffffff,370,370,370.0
874649743ffffff,133,133,133.0
87490b915ffffff,210,210,210.0
8749a8c40ffffff,1800,1800,1800.0
8749a34b6ffffff,960,960,960.0
8749ae330ffffff,1000,1000,1000.0
8749ae348ffffff,1000,1000,1000.0
8749a34f0ffffff,783,783,783.0
8749a34d5ffffff,904,904,904.0
8749848e2ffffff,1008,1008,1008.0
8749848e9ffffff,800,707,753.5
874980b11ffffff,3113,2820,2966.5
8749a84a0ffffff,4260,4260,4260.0
8749aa20bffffff,1800,1800,1800.0
8749ab490ffffff,1760,1760,1760.0
874980b8dffffff,2347,2347,2347.0
874980aa4ffffff,2739,2739,2739.0
874981a62ffffff,1890,1890,1890.0
8749aa2cbffffff,1860,1860,1860.0
876d286e5ffffff,2505,2505,2505.0
876d28796ffffff,2500,2500,2500.0
876d2940cffffff,3976,3880,3943.6666666666665
876d2920effffff,1650,1565,1607.5
876d74d9bffffff,1189,1189,1189.0
8749b1298ffffff,1006,1006,1006.0
874986d22ffffff,2551,2551,2551.0
