h3,places
8844c64067fffff,1
8844d58433fffff,1
8844d5a353fffff,1
8844d5a357fffff,1
8844c46db7fffff,1
8844c0c34dfffff,1
8844c0d535fffff,1
8844c0c353fffff,1
8844c0c11bfffff,1
8844c0c629fffff,2
8844c005d9fffff,1
8844c0031dfffff,3
8844c00069fffff,2
8844c01835fffff,1
8844c01991fffff,3
8844c00769fffff,4
8844c0018bfffff,1
8844c00e97fffff,1
8844c00e3bfffff,1
8844c00eadfffff,4
8844c00ea3fffff,1
8844c07331fffff,1
8844c00cd1fffff,30
8844c00cd7fffff,4
8844c03961fffff,1
8844c03813fffff,1
8844c039dbfffff,2
8844c03981fffff,2
8844c03931fffff,1
8844c02b0dfffff,5
8844c02b69fffff,1
8844c02a31fffff,2
8844c02ab5fffff,1
8844c02825fffff,1
8844c028bbfffff,1
8844c07599fffff,1
8844c06e59fffff,2
8844c392c1fffff,4
8844c39289fffff,1
8844c390d5fffff,1
8844c3906dfffff,2
8844c39141fffff,1
8844c3918dfffff,1
8844c39701fffff,1
8844c39467fffff,1
8844c390b9fffff,1
8844c3805bfffff,1
8844c398b3fffff,1
8844c38001fffff,1
8844c38003fffff,5
8844c381e1fffff,1
8844c38a81fffff,1
8844c38a9dfffff,2
8844c0d8bdfffff,3
8844c0cb37fffff,1
8844c63087fffff,1
8844c63567fffff,1
8844c0c1edfffff,4
8844c0cad3fffff,62
8844c0ca99fffff,4
8844c0c1a3fffff,1
8844c0cf49fffff,4
8844c0cf41fffff,2
8844c0cf45fffff,3
8844c0cf47fffff,2
8844c0cab1fffff,1
8844c620cdfffff,1
8844c62b4bfffff,2
8844c6741dfffff,1
8844c6665bfffff,1
8844c67487fffff,1
8844c62e55fffff,1
8844c62ce1fffff,1
8844c29361fffff,12
8844c29331fffff,2
8844c29335fffff,3
8844c664bbfffff,2
8844c29067fffff,1
8844c66493fffff,2
8844c050b1fffff,1
8844c05405fffff,1
8844c05137fffff,3
8844c05ac3fffff,2
8844c04153fffff,5
8844c04701fffff,1
8844c0408bfffff,1
8844c28723fffff,2
8844c2b849fffff,4
8844c66347fffff,1
8844c6632bfffff,1
8844c66103fffff,1
8844c66a59fffff,1
8844c66b6bfffff,1
8844c66acbfffff,1
8844c66ae1fffff,1
8844c669c9fffff,1
8844c668a1fffff,2
8844c665a3fffff,1
8844c66527fffff,1
8844c66ec3fffff,1
8844c29b45fffff,1
8844c66d55fffff,1
8844c669b7fffff,1
8844c2d21bfffff,1
8844c2d2abfffff,1
8844d5b431fffff,3
8844d5b4a7fffff,1
8844d5a213fffff,3
8844d5a743fffff,29
8844c66901fffff,1
8844c66937fffff,1
8844d5a629fffff,16
8844d5a739fffff,63
8844d5a735fffff,6
8844d5a551fffff,5
8844d5a455fffff,2
8844d5a50bfffff,2
8844d5af41fffff,1
8844c2db45fffff,1
8844d53621fffff,1
8844d53611fffff,1
8844c28129fffff,1
8844c28b51fffff,1
8844c2d4b7fffff,1
8844c2c721fffff,13
8844c2c569fffff,1
8844c212e7fffff,1
8844c2c587fffff,2
8844c21137fffff,1
8844c21a97fffff,1
8844c2d8b7fffff,1
8844c2c137fffff,1
8844d5348dfffff,3
8844c2c969fffff,53
8844d5265bfffff,2
8844c07a27fffff,1
8844c06b3bfffff,1
8844c061abfffff,1
8844c068c9fffff,1
8844c3d343fffff,1
8844c2a04bfffff,2
8844c2a749fffff,1
8844c2b815fffff,1
8844c2b817fffff,1
8844c2aa95fffff,1
8844c2acadfffff,1
8844c2ad9bfffff,1
8844c2a9e7fffff,3
8844c2adb7fffff,2
8844c2370dfffff,1
8844c3d44dfffff,2
8844c3d491fffff,1
8844c31b09fffff,1
8844c31b07fffff,6
8844c3cc99fffff,1
8844c3d9e7fffff,1
8844c3d9adfffff,1
8844c236c7fffff,2
8844c236d7fffff,14
8844c23685fffff,9
8844c2340bfffff,1
8844c236a1fffff,1
8844c236a3fffff,3
8844c3caedfffff,1
8844c2309dfffff,1
8844c22229fffff,2
8844c222e3fffff,4
8844c222adfffff,1
8844c2200dfffff,4
8844c22741fffff,1
8844c220b3fffff,1
8844c352d5fffff,1
8844c352d7fffff,1
8844c22567fffff,1
8844c215edfffff,1
8844c2189bfffff,13
8844c21897fffff,4
8844c20489fffff,1
8844c204e3fffff,1
8844c204bbfffff,1
8844c205edfffff,1
8844c23831fffff,1
8844c2391bfffff,2
8844c20c69fffff,1
8844c20c13fffff,1
8844c20d93fffff,1
8844c23921fffff,1
8844c23923fffff,1
8844c276c9fffff,4
8844c276c7fffff,23
8844c27717fffff,12
8844c24637fffff,1
8844c24183fffff,1
8844c27123fffff,2
8844c27ad3fffff,2
8844c22319fffff,2
8844c238dbfffff,2
8844c22327fffff,2
8844c239b5fffff,2
8844c22a67fffff,1
8844c221d1fffff,2
8844c22adbfffff,2
8844c22ac3fffff,1
8844c22e6bfffff,1
8844c22a9bfffff,2
8844c22aedfffff,4
8844c22ae5fffff,134
8844c22869fffff,13
8844c22845fffff,1
8844c228cbfffff,2
8844c27689fffff,1
8844c2769bfffff,1
8844c27457fffff,21
8844c276b5fffff,20
8844c274c9fffff,7
8844c22823fffff,3
8844c229c9fffff,58
8844c229e5fffff,3
8844c26635fffff,3
8844c228b9fffff,3
8844c228a7fffff,2
8844c22dc7fffff,1
8844c22de3fffff,3
8844dc9757fffff,1
8844c264c9fffff,1
8844c264e5fffff,15
8844c26493fffff,1
8844c262e7fffff,2
8844c26731fffff,1
8844c260b9fffff,3
8844c26e43fffff,13
8844c26543fffff,1
8844c26e13fffff,1
8844c26ec7fffff,2
8844c261bbfffff,1
8844c26e65fffff,2
8844c26f59fffff,3
8844c26e31fffff,13
8844c26c49fffff,9
8844c2692bfffff,1
8844c268dbfffff,160
8844c26f21fffff,2
8844c26f27fffff,7
8844c268b7fffff,5
8844dcd255fffff,1
8844dcd267fffff,2
8844dcd363fffff,2
8844c26c01fffff,2
8844c26d95fffff,1
8844dc99e7fffff,2
8844dc99a5fffff,1
8844dcd61bfffff,3
8844c26d2bfffff,5
8844c26d3dfffff,1
8844dcd289fffff,1
8844dcd2b1fffff,4
8844dcd041fffff,2
8844dcd013fffff,1
8844dcc313fffff,2
8844d58537fffff,1
8844d58ee1fffff,1
8844d5c6d3fffff,5
8844d5c611fffff,2
8844d58893fffff,1
8844d51267fffff,3
8844d51247fffff,1
8844d51233fffff,2
8844d589b5fffff,4
8844d5136bfffff,32
8844d51319fffff,1
8844d5133bfffff,1
8844d58dd3fffff,4
8844d58dd5fffff,1
8844d516d7fffff,1
8844d51403fffff,1
8844d51429fffff,1
8844d515d9fffff,1
8844d51051fffff,1
8844d51067fffff,1
8844d51139fffff,3
8844d51a93fffff,6
8844d5154dfffff,1
8844d51501fffff,2
8844d50347fffff,62
8844d50309fffff,88
8844d5030bfffff,105
8844d50315fffff,1
8844d502e1fffff,1
8844d5c735fffff,11
8844d5c71bfffff,2
8844d5c41dfffff,4
8844d5c417fffff,17
8844d5c4c5fffff,5
8844d5c4e9fffff,7
8844d5c4a9fffff,3
8844d5c43dfffff,8
8844d5c437fffff,1
8844d51a55fffff,1
8844d5c5e5fffff,5
8844d5cf47fffff,22
8844d5c8d9fffff,1
8844d5cf51fffff,13
8844d5cc65fffff,1
8844d5112dfffff,2
8844d51ac9fffff,3
8844d51a97fffff,5
8844d51909fffff,2
8844d519edfffff,1
8844d50849fffff,1
8844d5568dfffff,1
8844d5546bfffff,4
8844d55467fffff,1
8844d55417fffff,2
8844d554a7fffff,26
8844d555e5fffff,12
8844d55131fffff,2
8844d55a33fffff,12
