h3,road_complexity
8844c03b39fffff,122
8844c03b2dfffff,194
8844c03b1bfffff,3
8844c0394dfffff,42
8844c03909fffff,3
8844c00ce7fffff,12
8844c00cabfffff,1
8844c00cb5fffff,7
8844c00d9bfffff,6
8844c00d99fffff,2
8844c07663fffff,1
8844c039c1fffff,2
8844c039e9fffff,8
8844c038a9fffff,2
8844c0399bfffff,6
8844c02a45fffff,6
8844c0769dfffff,8
8844c07749fffff,1
8844c07281fffff,1
8844c072b1fffff,1
8844c07723fffff,3
8844c07013fffff,6
8844c07023fffff,2
8844c070ebfffff,1
8844c0708dfffff,1
8844c07097fffff,5
8844c071d7fffff,1
8844c07461fffff,6
8844c0741dfffff,1
8844c07503fffff,2
8844c07539fffff,2
8844c07533fffff,2
8844c06237fffff,1
8844c0604bfffff,1
8844c02a2bfffff,2
8844c02b13fffff,4
8844c02aa5fffff,4
8844c02aa3fffff,11
8844c02857fffff,7
8844c0280bfffff,4
8844c0280dfffff,43
8844c02805fffff,3
8844c02839fffff,2
8844c02941fffff,2
8844c074b9fffff,3
8844c02899fffff,12
8844c39241fffff,2
8844c3920dfffff,5
8844c3920bfffff,5
8844c39201fffff,16
8844c029a3fffff,2
8844c066b3fffff,1
8844c39261fffff,6
8844c39343fffff,5
8844c39355fffff,3
8844c3930bfffff,5
8844c0660bfffff,2
8844c06765fffff,3
8844c0676bfffff,1
8844c060e5fffff,1
8844c066a3fffff,1
8844c06423fffff,2
8844c06435fffff,1
8844c065c3fffff,1
8844c06499fffff,1
8844c39a45fffff,1
8844c065e9fffff,1
8844c06e81fffff,2
8844c06ea9fffff,1
8844c39b6dfffff,3
8844c394a9fffff,8
8844c395d1fffff,10
8844c38649fffff,1
8844c39281fffff,9
8844c39213fffff,8
8844c392edfffff,13
8844c392e5fffff,8
8844c392a1fffff,17
8844c39295fffff,2
8844c390cbfffff,27
8844c39155fffff,6
8844c3902dfffff,7
8844c3903bfffff,27
8844c39033fffff,17
8844c391c1fffff,1
8844c391a1fffff,3
8844c39731fffff,1
8844c3955bfffff,4
8844c39737fffff,1
8844c39565fffff,1
8844c39421fffff,5
8844c38349fffff,1
8844c3835bfffff,5
8844c38225fffff,2
8844c38309fffff,5
8844c38221fffff,2
8844c38043fffff,27
8844c39ad3fffff,3
8844c39ab9fffff,2
8844c39b19fffff,1
8844c3986dfffff,1
8844c06c9bfffff,1
8844c3994dfffff,1
8844c39845fffff,1
8844c39913fffff,1
8844c38323fffff,2
8844c39995fffff,1
8844c399e1fffff,6
8844c3d6d1fffff,2
8844c399adfffff,2
8844c38a6bfffff,1
8844c399b3fffff,7
8844c38a65fffff,1
8844c38b03fffff,1
8844c39587fffff,1
8844c38627fffff,4
8844c38449fffff,2
8844c38715fffff,1
8844c3873dfffff,1
8844c3801dfffff,33
8844c38035fffff,12
8844c38637fffff,1
8844c38451fffff,1
8844c38733fffff,1
8844c38423fffff,3
8844c384e3fffff,9
8844c385edfffff,2
8844c38529fffff,1
8844c38ea9fffff,1
8844c38eb9fffff,1
8844c38113fffff,3
8844c381e9fffff,2
8844c38a89fffff,11
8844c38195fffff,1
8844c381b3fffff,2
8844c38a17fffff,1
8844c3885dfffff,1
8844c38833fffff,1
8844c38d59fffff,2
8844c38d47fffff,1
8844c38c31fffff,1
8844c38d53fffff,1
8844c38891fffff,3
8844c31269fffff,1
8844c0da81fffff,4
8844c0d8e9fffff,10
8844c0db15fffff,4
8844c63653fffff,1
8844c0d9c3fffff,1
8844c0d989fffff,9
8844c0d9e1fffff,3
8844c0d98dfffff,1
8844c0d903fffff,1
8844c0d93dfffff,2
8844c0d891fffff,1
8844c0d893fffff,3
8844c0c109fffff,10
8844c0c11dfffff,12
8844c0ca51fffff,5
8844c0ca0bfffff,16
8844c0cacdfffff,1
8844c63683fffff,1
8844c636b9fffff,5
8844c0cb61fffff,1
8844c0cb65fffff,3
8844c0cb13fffff,48
8844c0c94bfffff,1
8844c63669fffff,4
8844c63651fffff,1
8844c63749fffff,9
8844c63743fffff,5
8844c63621fffff,3
8844c6371dfffff,2
8844c6309bfffff,2
8844c630c3fffff,1
8844c63569fffff,1
8844c6356dfffff,3
8844c63565fffff,3
8844c634cbfffff,3
8844c63487fffff,1
8844c0c949fffff,2
8844c0c96bfffff,1
8844c63513fffff,13
8844c635cbfffff,1
8844c6229dfffff,4
8844c0c133fffff,11
8844c0c1a9fffff,41
8844c0cac7fffff,26
8844c0ca85fffff,101
8844c0cae5fffff,8
8844c0cf0bfffff,9
8844c0cf03fffff,14
8844c0c805fffff,17
8844c0c815fffff,8
8844c0c8ebfffff,5
8844c0c8b7fffff,1
8844c05261fffff,3
8844c0528bfffff,1
8844c626d9fffff,3
8844c0c9a1fffff,1
8844c626bdfffff,1
8844c62411fffff,1
8844c62413fffff,1
8844c62427fffff,3
8844c05343fffff,1
8844c05323fffff,2
8844c624bbfffff,2
8844c0515bfffff,1
8844c05021fffff,16
8844c05a19fffff,4
8844c05a6dfffff,1
8844c05a51fffff,3
8844c05a3dfffff,1
8844c630e5fffff,2
8844c631c7fffff,10
8844c630a5fffff,19
8844c62261fffff,1
8844c62309fffff,2
8844c63a93fffff,1
8844c62365fffff,1
8844c62065fffff,3
8844c620c1fffff,1
8844c6208bfffff,1
8844c621d9fffff,2
8844c621a5fffff,9
8844c62ad5fffff,1
8844c62a87fffff,1
8844c6391bfffff,4
8844c639bdfffff,3
8844c6761dfffff,2
8844c67613fffff,4
8844c67631fffff,20
8844c6740bfffff,1
8844c676a3fffff,1
8844c67435fffff,2
8844c62a2bfffff,1
8844c62b01fffff,6
8844c62b39fffff,4
8844c62867fffff,3
8844c62955fffff,3
8844c66611fffff,2
8844c666c5fffff,3
8844c620bdfffff,3
8844c62e5dfffff,2
8844c62e05fffff,1
8844c62ee9fffff,1
8844c62c55fffff,1
8844c62f45fffff,2
8844c628d5fffff,1
8844c62f37fffff,2
8844c62cd5fffff,2
8844c62dd5fffff,1
8844c62d17fffff,7
8844c62de7fffff,6
8844c2966dfffff,10
8844c628adfffff,1
8844c62837fffff,3
8844c29201fffff,1
8844c629a1fffff,5
8844c66695fffff,2
8844c66697fffff,6
8844c666a1fffff,2
8844c666b5fffff,2
8844c29367fffff,17
8844c664dbfffff,2
8844c2900dfffff,7
8844c29089fffff,7
8844c290cdfffff,2
8844c29129fffff,2
8844c29121fffff,8
8844c29117fffff,8
8844c291a9fffff,5
8844c291abfffff,1
8844c29addfffff,1
8844c0cca7fffff,2
8844c05555fffff,4
8844c050dbfffff,1
8844c050e3fffff,4
8844c04255fffff,2
8844c05425fffff,1
8844c05423fffff,6
8844c055c1fffff,1
8844c055ebfffff,4
8844c054a1fffff,1
8844c055c3fffff,1
8844c04237fffff,9
8844c04745fffff,1
8844c04285fffff,1
8844c040c9fffff,5
8844c05117fffff,2
8844c05a89fffff,8
8844c051bbfffff,2
8844c04265fffff,1
