h3,places
89269615a6bffff,2
892696075d3ffff,1
8926960758bffff,2
8926960665bffff,2
89269615a3bffff,2
89269615bbbffff,8
89269615b87ffff,6
89269606637ffff,18
892696060dbffff,2
8926960646fffff,3
89269606093ffff,3
892696159abffff,11
892696159bbffff,2
89269615987ffff,10
89269614a03ffff,16
89269615c0bffff,1
892696151a3ffff,1
8926961420bffff,4
89269615d2fffff,4
89269615d03ffff,1
89269614acbffff,6
89269614b47ffff,5
89269614b0fffff,12
89269614bb3ffff,7
892696a962bffff,12
892696a9623ffff,4
892696a9013ffff,27
892696a9613ffff,3
89269614927ffff,1
892696a947bffff,7
892696a940bffff,26
892696a94c7ffff,45
892696a94d7ffff,19
89269614843ffff,7
89269614853ffff,2
89269614ea7ffff,2
89269614803ffff,1
89269614957ffff,1
892696149dbffff,6
89269614813ffff,1
892696148a3ffff,3
892696148b3ffff,1
89269614d7bffff,3
89269614c6bffff,1
89269614c4fffff,1
89269614cc7ffff,5
89269614c0fffff,1
8926961499bffff,2
8926961498fffff,7
89269614d73ffff,2
89269614d0bffff,2
89269614d27ffff,5
892696ab2dbffff,23
892696ab233ffff,22
892696ab2afffff,5
892696ab2d7ffff,28
892696ab297ffff,33
89269616b03ffff,1
892696ab653ffff,15
89269616b33ffff,2
892696ab36fffff,59
892696a869bffff,7
892696a806bffff,2
892696a8283ffff,1
892696a80d7ffff,19
892696a855bffff,1
892696ab003ffff,7
892696ab18bffff,2
892696ab0d7ffff,22
892696ab433ffff,1
892696aa243ffff,12
892696aa257ffff,3
892696aa20bffff,1
892696ab52fffff,3
892696ab5bbffff,5
89269614c93ffff,2
89269616a83ffff,2
89269616ab7ffff,1
89269616bc3ffff,1
89269616bc7ffff,2
892696169cbffff,2
89269616c6fffff,6
892696161b3ffff,20
89269616ccbffff,1
892696b9247ffff,5
892696ab4cbffff,1
892696065c3ffff,4
892696064a7ffff,1
892696065a3ffff,9
89269606597ffff,18
892696ab623ffff,109
892696ab60fffff,33
892696a9183ffff,46
892696142a3ffff,2
892696141c3ffff,1
892696076d7ffff,1
8926960292fffff,2
89269602917ffff,1
89269607417ffff,2
892696074d7ffff,1
89269615b2bffff,41
89269615b3bffff,42
89269615b23ffff,1
89269615bafffff,2
89269615aafffff,2
89269606657ffff,1
8926960660fffff,1
89269606617ffff,3
8926960644bffff,1
89269606463ffff,3
89269615983ffff,3
89269606417ffff,8
89269615997ffff,2
8926961589bffff,5
89269614233ffff,2
89269615d2bffff,2
89269615d17ffff,5
89269614acfffff,5
89269614a8bffff,4
89269614147ffff,5
89269606483ffff,8
89269614b67ffff,13
89269614b1bffff,5
8926961486fffff,3
89269614b97ffff,9
892696a9293ffff,8
892696a9677ffff,5
892696a960bffff,1
892696a9097ffff,40
89269614907ffff,6
892696a94dbffff,4
892696a948bffff,4
892696a9497ffff,34
89269614ab3ffff,6
8926961480bffff,4
89269614a93ffff,1
89269614eabffff,1
89269614d53ffff,3
89269614cb3ffff,2
8926961498bffff,1
892696ab20bffff,16
892696ab66bffff,41
892696ab287ffff,40
89269614d57ffff,2
89269614d13ffff,4
89269614d87ffff,9
892696ab65bffff,7
89269616b7bffff,3
89269616b37ffff,1
892696a8207ffff,2
892696a82c3ffff,3
